"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2025","25,311.50","25,315.21","25,368.85","25,281.15","204.13M","0.12%"
"01/21/2025","25,281.63","25,167.32","25,316.12","25,134.09","227.10M","0.44%"
"01/20/2025","25,171.58","25,064.29","25,245.78","25,064.29","93.11M","0.41%"
"01/17/2025","25,067.92","24,931.19","25,088.03","24,931.19","216.65M","0.89%"
"01/16/2025","24,846.20","24,826.16","24,884.20","24,771.89","231.75M","0.23%"
"01/15/2025","24,789.30","24,733.42","24,879.24","24,733.42","214.07M","0.82%"
"01/14/2025","24,588.58","24,566.35","24,623.16","24,469.90","226.05M","0.21%"
"01/13/2025","24,536.32","24,629.06","24,668.06","24,519.81","243.47M","-0.93%"
"01/10/2025","24,767.73","25,003.36","25,003.36","24,693.75","287.00M","-1.22%"
"01/09/2025","25,073.36","25,040.14","25,100.17","25,025.08","102.06M","0.09%"
"01/08/2025","25,051.68","24,930.02","25,061.55","24,856.17","249.05M","0.49%"
"01/07/2025","24,929.89","25,059.89","25,197.00","24,863.85","237.76M","-0.28%"
"01/06/2025","24,999.79","25,168.99","25,222.37","24,967.89","239.98M","-0.29%"
"01/03/2025","25,073.54","24,939.96","25,086.04","24,939.96","186.57M","0.70%"
"01/02/2025","24,898.03","24,821.15","25,003.17","24,777.09","215.09M","0.69%"
"12/31/2024","24,727.94","24,651.48","24,767.80","24,651.48","154.43M","0.44%"
"12/30/2024","24,620.59","24,667.06","24,691.51","24,491.51","201.54M","-0.71%"
"12/27/2024","24,796.40","24,801.65","24,876.75","24,701.20","218.08M","-0.20%"
"12/24/2024","24,846.82","24,748.22","24,846.82","24,665.58","86.28M","0.40%"
"12/23/2024","24,748.98","24,566.27","24,749.79","24,510.50","258.16M","0.61%"
"12/20/2024","24,599.48","24,361.33","24,720.87","24,250.02","517.45M","0.76%"
"12/19/2024","24,413.94","24,590.88","24,650.44","24,408.52","231.75M","-0.58%"
"12/18/2024","24,557.00","25,094.99","25,116.33","24,512.68","296.44M","-2.24%"
"12/17/2024","25,119.71","25,070.82","25,131.81","25,008.08","280.47M","-0.11%"
"12/16/2024","25,147.21","25,255.85","25,265.30","25,133.83","256.37M","-0.50%"
"12/13/2024","25,274.30","25,403.58","25,403.58","25,216.42","222.09M","-0.54%"
"12/12/2024","25,410.71","25,607.22","25,607.22","25,393.69","243.07M","-0.96%"
"12/11/2024","25,657.70","25,558.81","25,674.74","25,533.84","257.76M","0.60%"
"12/10/2024","25,504.33","25,616.67","25,621.73","25,498.90","269.23M","-0.47%"
"12/09/2024","25,625.42","25,713.03","25,843.20","25,607.98","287.25M","-0.26%"
"12/06/2024","25,691.80","25,743.00","25,826.98","25,684.67","229.58M","0.05%"
"12/05/2024","25,680.04","25,550.92","25,760.15","25,550.92","250.51M","0.15%"
"12/04/2024","25,641.18","25,666.43","25,743.53","25,573.61","277.67M","0.02%"
"12/03/2024","25,635.73","25,589.24","25,693.68","25,578.72","268.96M","0.18%"
"12/02/2024","25,590.33","25,650.33","25,706.50","25,492.57","295.58M","-0.22%"
"11/29/2024","25,648.00","25,530.24","25,694.45","25,528.97","176.43M","0.41%"
"11/28/2024","25,543.52","25,483.37","25,593.47","25,483.37","81.48M","0.22%"
"11/27/2024","25,488.30","25,388.48","25,524.57","25,385.40","201.38M","0.33%"
"11/26/2024","25,405.14","25,391.73","25,437.20","25,288.46","275.00M","-0.02%"
"11/25/2024","25,410.35","25,457.27","25,542.57","25,389.74","444.93M","-0.13%"
"11/22/2024","25,444.28","25,395.74","25,478.37","25,360.12","196.54M","0.21%"
"11/21/2024","25,390.68","25,076.88","25,402.06","25,040.64","270.82M","1.41%"
"11/20/2024","25,036.46","25,022.59","25,041.60","24,909.72","214.81M","0.10%"
"11/19/2024","25,010.77","24,887.44","25,018.61","24,787.79","226.20M","0.14%"
"11/18/2024","24,976.94","24,906.47","25,082.87","24,906.47","286.28M","0.35%"
"11/15/2024","24,890.68","25,004.49","25,004.49","24,814.91","253.36M","-0.63%"
"11/14/2024","25,049.67","24,990.08","25,137.70","24,990.08","219.87M","0.24%"
"11/13/2024","24,989.02","24,917.73","25,002.96","24,860.56","217.24M","0.26%"
"11/12/2024","24,923.01","24,979.77","25,024.93","24,826.14","242.35M","0.54%"
"11/11/2024","24,789.28","24,783.63","24,901.51","24,772.48","212.52M","0.12%"
"11/08/2024","24,759.40","24,804.26","24,804.26","24,679.72","213.06M","-0.35%"
"11/07/2024","24,845.93","24,651.37","24,869.23","24,644.34","259.93M","0.85%"
"11/06/2024","24,637.45","24,483.17","24,646.41","24,315.15","273.18M","1.02%"
"11/05/2024","24,387.90","24,262.54","24,393.82","24,231.83","197.18M","0.54%"
"11/04/2024","24,256.06","24,219.16","24,353.36","24,162.22","251.99M","0.00%"
"11/01/2024","24,255.16","24,225.28","24,365.11","24,205.16","210.24M","0.41%"
"10/31/2024","24,156.87","24,457.76","24,457.76","24,098.49","283.41M","-1.43%"
