Dataset,Source,Domain,Frequency,Chronos,TimesFM,Moirai,Moirai-MoE,Time-GPT,ForecastPFN,MOMENT,Lag-Llama,GPT4TS,Timer,VisionTS,TTM,LLMTime,Time-LMM,UniTime,Time-MoE,Chronos-2,Flowstate,LightGTS,Sundial,TabPFN-TS,Time-MoE2,TinyTimeMixer,TiRex,Toto,YingLong (under review),Gift-Eval,Flowstate(T),TimesFM-ICL,ROSE
Jena Weather,"Autoformer (Wu et al., 2021)",Nature,10T,,,ZS,ZS,,,T/T,,T/T,ZS,ZS,ZS,ZS,,,T/T,,ZS,T/T,ZS,,,,ZS,T/T,,ZS,,,T/T
Jena Weather,"Autoformer (Wu et al., 2021)",Nature,H,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Jena Weather,"Autoformer (Wu et al., 2021)",Nature,D,,,,,,ZS,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
BizITObs - Application,"AutoMixer (Palaskar et al., 2024)",Web/CloudOps,10S,,,,,,,,,,,,ZS,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
BizITObs - L2C,"AutoMixer (Palaskar et al., 2024)",Web/CloudOps,5T,,,,ZS,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
BizITObs - L2C,"AutoMixer (Palaskar et al., 2024)",Web/CloudOps,H,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
BizITObs - Service,"AutoMixer (Palaskar et al., 2024)",Web/CloudOps,10S,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
BDG-2 Bear,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
BDG-2 Fox,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
BDG-2 Panther,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
BDG-2 Rat,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Borealis,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Buildings900K,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
IDEAL,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Low Carbon London,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,,,P,,P,,,,P,P,,P,P,P,
Sceaux,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
SMART,"BuildingsBench (Emami et al., 2023)",Energy,H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
CMIP6,"ClimateLearn (Nguyen et al., 2023)",Climate,6H,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,P,
ERA5,"ClimateLearn (Nguyen et al., 2023)",Climate,H,,,P,P,,,,,,P,,,,,,P,,P,,P,,,,,P,,P,,P,
Alibaba Cluster Trace 2018,"CloudOpsTSF (Woo et al., 2023)",CloudOps,5T,,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,,,
Azure vM Traces 2017,"CloudOpsTSF (Woo et al., 2023)",CloudOps,5T,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Borg Cluster Data 2011,"CloudOpsTSF (Woo et al., 2023)",CloudOps,5T,,,P,P,,,,,,,,,,,,P,,P,,P,,,,P,P,,P,P,P,
Air Passengers,"Darts Dataset (Herzen et al., 2021)",Econ/Fin,M,,ZS,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Aus Beer,"Darts Dataset (Herzen et al., 2021)",Econ/Fin,Q,,ZS,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Gas Rate CO2,"Darts Dataset (Herzen et al., 2021)",Econ/Fin,Y,,ZS,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Monthly Milk,"Darts Dataset (Herzen et al., 2021)",Econ/Fin,M,,ZS,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Wine,"Darts Dataset (Herzen et al., 2021)",Sales,M,,ZS,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Wooly,"Darts Dataset (Herzen et al., 2021)",Econ/Fin,Q,,ZS,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Heart Rate,"Darts Dataset (Herzen et al., 2021)",Nature,0.5S,,ZS,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Sunspots,"Darts Dataset (Herzen et al., 2021)",Nature,M,,,,,,,,,,,,,ZS,,,,,,,,,,,,,,,,,
Bitbrains,"Fast Storage Grid Workloads Archive (Shen et al., 2015)",Web/CloudOps,5T,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Bitbrains,"Fast Storage Grid Workloads Archive (Shen et al., 2015)",Web/CloudOps,H,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Bitbrains,"Fast Storage Grid Workloads Archive (Shen et al., 2015)",Web/CloudOps,5T,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
Bitbrains,"Fast Storage Grid Workloads Archive (Shen et al., 2015)",Web/CloudOps,H,,,,,,,,,,,,,,,,,,ZS,,,,,,ZS,T/T,,ZS,,,
FRED,"FRED (Oreshkin et al., 2021)",Econ/Fin,D,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FRED,"FRED (Oreshkin et al., 2021)",Econ/Fin,Y,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FRED,"FRED (Oreshkin et al., 2021)",Econ/Fin,W,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FRED,"FRED (Oreshkin et al., 2021)",Econ/Fin,M,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
FRED,"FRED (Oreshkin et al., 2021)",Econ/Fin,Q,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,
M5,"GluonTS (Alexandrov et al., 2020a)",Sales,D,ZS,,P,P,,,,,,,,,,,,P,,P,,P,,,,,P,,P,ZS,ZS,
Taxi,"GluonTS (Alexandrov et al., 2020a)",Transport,30T,T/T,,P,P,,,,,,,,,,,,P,,P,,P,,,,T/T,P,,P,P,P,
Taxi,"GluonTS (Alexandrov et al., 2020a)",Transport,H,P,,,,,,,,,,,,,,,P,,possible P,,P,,,,P,P,,P,P,,
Uber TLC Daily,"GluonTS (Alexandrov et al., 2020a)",Transport,D,T/T,,P,P,,,,,,,,,,,,P,,P,,P,,,,T/T,P,,P,P,,
Uber TLC Hourly,"GluonTS (Alexandrov et al., 2020a)",Transport,H,T/T,,P,P,,,,P,,,,,,,,P,,P,,P,,,,T/T,P,,P,P,,
Wiki-Rolling,"GluonTS (Alexandrov et al., 2020a)",Web,D,,,,,,,,,,,,,,,,P,,P,,,,,,,P,,P,,,
Trends hourly,Google Trends,Web,H,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,P,
