trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,2.3433041891137763e-05,64,12,0.39952799824830093,0.31658951602671315,6,4,64,256,TensorBase(0.0753)
1,2.8935113648062688e-05,128,12,0.34438636735159045,0.47716765474611805,6,16,64,128,TensorBase(0.0689)
2,0.0010282407531419094,16,17,0.6835586218253179,0.49201112096151417,3,32,128,512,TensorBase(0.0646)
3,0.0023142382712961003,16,2,0.4371226567318304,0.10616343886541318,3,32,256,256,TensorBase(0.0534)
4,4.90561717470744e-05,32,16,0.5643934660083367,0.6379325772106436,7,4,512,128,TensorBase(0.0431)
5,0.015008197318943713,128,18,0.3004426249923063,0.23454233956817164,5,8,512,512,TensorBase(0.0840)
6,0.00021543827680093835,16,15,0.11699708071017627,0.6892893349827218,4,32,32,512,TensorBase(0.0428)
7,2.2679416184948047e-05,64,2,0.02029193932186389,0.016772677449797112,2,4,32,64,TensorBase(0.1059)
8,0.0014443036725184327,16,7,0.5566601161802173,0.41421937199186776,2,8,256,64,TensorBase(0.0573)
9,0.0032319228408852776,128,13,0.6332641153986558,0.5323799830616277,4,16,128,32,TensorBase(0.1182)
10,0.00017655163650145665,32,20,0.0850989815237996,0.6859964799361924,8,32,32,512,TensorBase(0.0324)
11,0.00020396655751510936,32,20,0.083158727028178,0.6867464888789782,8,32,32,512,TensorBase(0.0331)
12,0.00017070397571549939,32,20,0.16886605684137346,0.611929881462169,8,32,32,512,TensorBase(0.0331)
13,0.00024266483327475637,32,20,0.004736340440585685,0.56077974359453,8,32,32,512,TensorBase(0.0332)
14,0.06517224270715904,32,7,0.17534548491386268,0.6883861162122912,7,32,32,32,TensorBase(0.1230)
15,0.00012582817011412418,32,20,0.2453659820462743,0.3163620477462536,8,32,32,512,TensorBase(0.0457)
16,0.0004599403644530779,32,9,0.08086698707192058,0.5940655252948646,7,32,32,512,TensorBase(0.0331)
17,1.0671706755580333e-05,32,15,0.232225271093534,0.4390164292302412,6,8,32,512,TensorBase(0.0671)
18,0.008495185336309219,32,18,0.09656462661882129,0.21999717901542254,8,16,128,32,TensorBase(0.0528)
19,7.335886802156581e-05,64,14,0.1608969505132481,0.38688476932002963,7,32,256,128,TensorBase(0.0356)
20,0.0004999655324625409,32,10,0.25954337690086804,0.6402905252354354,5,32,64,256,TensorBase(0.0336)
21,0.0005691268270941284,32,8,0.06596226221545254,0.5806934281612103,7,32,32,512,TensorBase(0.0370)
22,0.0004948117556623835,32,10,0.06835758344429421,0.6955354128403964,8,32,32,512,TensorBase(0.0358)
23,6.382355793401508e-05,32,6,0.1317251811188626,0.6264201374198201,7,32,32,512,TensorBase(0.0382)
24,0.00036504243624070154,32,4,0.05768224271582095,0.5389128693440003,8,32,32,512,TensorBase(0.0334)
25,0.00010010815364484245,32,18,0.19405239371899524,0.593162329057467,6,32,512,64,TensorBase(0.0314)
26,0.00010611648608587402,32,18,0.2112732814170812,0.655502380731674,6,16,512,64,TensorBase(0.0320)
27,8.600765956241737e-05,64,18,0.21963609180242497,0.5086136058438868,6,16,512,64,TensorBase(0.0327)
28,1.0078205676230102e-05,128,17,0.31264735925479514,0.6371410225863295,5,16,512,64,TensorBase(0.0464)
29,2.633292779490088e-05,64,19,0.4129891826064268,0.2968710388589006,6,4,512,64,TensorBase(0.0412)
30,4.4305133594020635e-05,32,17,0.4659440344324872,0.464005644108229,4,16,512,64,TensorBase(0.0368)
31,0.00010455975134945131,64,18,0.18614573592304845,0.5526520875008163,6,16,512,64,TensorBase(0.0326)
32,0.00011446628342665901,64,16,0.2057579900120843,0.5676828541258917,6,16,512,64,TensorBase(0.0339)
33,3.2633504955600646e-05,64,19,0.34907583296239997,0.6589395552239841,5,16,512,64,TensorBase(0.0382)
34,0.00011641424392620425,64,12,0.29758383695956164,0.5057239451532611,6,16,512,64,TensorBase(0.0385)
35,0.000983101840002131,16,16,0.13332270784308148,0.6063832450542701,5,16,64,256,TensorBase(0.0380)
36,2.058661293103644e-05,128,19,0.19677585515102275,0.4731806909718803,7,4,512,64,TensorBase(0.0386)
37,0.0002662754101803212,64,14,0.27151358779863954,0.6546821977231868,4,8,512,128,TensorBase(0.0339)
38,0.0008993780616840719,16,17,0.14439579336838812,0.5416485641439759,6,16,512,64,TensorBase(0.0518)
39,4.6668525813847495e-05,32,15,0.03464731420119141,0.5796942641135931,5,16,64,64,TensorBase(0.0343)
40,0.00014998641722966934,128,18,0.1093543532570492,0.3833976679037357,3,4,128,256,TensorBase(0.0303)
41,0.0001479297331350018,128,18,0.11494755272135912,0.3830855753201276,3,4,128,256,TensorBase(0.0317)
42,0.00016687084370601107,128,19,0.10939190387944361,0.36024070697093324,3,4,128,256,TensorBase(0.0314)
43,0.0002973979990337977,128,16,0.12871021205110866,0.3727306782130398,3,4,128,256,TensorBase(0.0305)
44,0.000334312254006228,128,16,0.10515917992557051,0.35772651861147087,3,4,128,256,TensorBase(0.0314)
45,0.00031053282455191544,128,16,0.032194246070380184,0.2668607326779647,3,4,128,256,TensorBase(0.0301)
46,0.0017083376262051813,128,13,0.00026024888935391455,0.26512032214402564,3,4,128,256,TensorBase(0.0322)
47,0.0003083421544670279,128,14,0.03372406119983691,0.19024013714217636,2,4,128,256,TensorBase(0.0304)
48,0.0006702108554100671,128,14,0.03963562173082554,0.2036588690595668,2,4,128,256,TensorBase(0.0305)
49,0.004301764453944899,128,14,0.04101864756162946,0.1670213055781927,2,4,128,256,TensorBase(0.0328)
