trial_number,learning_rate,batch_size,epochs,dropout,fc_dropout,n_layers,n_heads,d_model,d_ff,val_mae
0,0.0007338468083995194,128,10,0.41305143136145417,0.17760612084105878,7,16,128,128,TensorBase(0.0446)
1,0.011556270583847762,64,8,0.06673096877675218,0.6908269465003964,2,16,32,256,TensorBase(0.0316)
2,5.260285778354878e-05,128,12,0.3233935093219193,0.4934970376924907,8,32,256,32,TensorBase(0.0476)
3,2.0241520163894408e-05,64,12,0.514094165503162,0.2854649297218119,3,4,512,32,TensorBase(0.0470)
4,2.449690287630819e-05,64,14,0.5524870292817102,0.2796104812943441,3,8,64,512,TensorBase(0.0597)
5,0.0013752349642398094,128,16,0.37332067227819415,0.5176065127408093,7,8,64,64,TensorBase(0.0348)
6,0.002494361955470427,128,11,0.22127721355573338,0.59630948276212,4,4,128,128,TensorBase(0.0334)
7,2.6517164985037907e-05,16,12,0.35868287114915626,0.5846427168361219,7,8,128,32,TensorBase(0.0442)
8,0.004164438794803244,64,12,0.6160662580540889,0.4446014996227734,3,8,32,32,TensorBase(0.0450)
9,0.00025424173028177683,64,20,0.09483284081400752,0.5522458432391633,7,4,128,128,TensorBase(0.0314)
10,0.08773811187302484,32,2,0.02382036754669059,0.0023897432970826915,5,4,256,128,TensorBase(0.1012)
11,0.022204055096956277,64,6,0.004832812079698531,0.6997260917867465,5,16,32,256,TensorBase(0.0324)
12,0.00021160357963023813,64,20,0.15590778566862665,0.696013310541632,2,16,32,256,TensorBase(0.0309)
13,0.0001917160436247914,16,20,0.16302771578080186,0.3997254942859366,6,32,512,256,TensorBase(0.0378)
14,0.00021418839402976187,32,20,0.16229131138759165,0.6120827129155929,8,4,32,64,TensorBase(0.0318)
15,0.0002179868576840428,64,17,0.22809479750177952,0.5431179902374251,2,16,128,512,TensorBase(0.0313)
16,8.6898414153722e-05,64,17,0.2607139234012717,0.654858740071723,2,16,128,512,TensorBase(0.0331)
17,0.0005844932412549751,64,17,0.27197208228063063,0.3491940880696368,2,16,32,512,TensorBase(0.0320)
18,0.00010509937309531715,32,15,0.17639854176368108,0.46459498050786807,4,16,512,256,TensorBase(0.0335)
19,0.0006514606216547486,16,18,0.46017650843316815,0.6382146682770835,4,16,256,512,TensorBase(0.0658)
20,0.005730131674473235,64,18,0.6962524455102167,0.12934721349751682,3,16,64,256,TensorBase(0.0786)
21,0.000260962870752529,64,20,0.10311910189934911,0.5532543627697002,6,4,128,128,TensorBase(0.0323)
22,0.00029348515775940077,64,19,0.11187162618131359,0.5429262778121182,2,32,128,128,TensorBase(0.0308)
23,5.963959584356952e-05,64,18,0.2178732965895681,0.41504750873727414,2,32,128,512,TensorBase(0.0341)
24,1.059187219320786e-05,64,14,0.12943807604224097,0.5236222360999003,2,32,128,64,TensorBase(0.0517)
25,0.00035623497291460427,64,19,0.29489427158202514,0.3613053125230504,3,32,32,512,TensorBase(0.0327)
26,0.001453220389017662,64,16,0.21925073923143312,0.6609600774926117,2,32,128,256,TensorBase(0.0307)
27,0.0016756299947143357,16,15,0.06213257547379941,0.6589835215736736,4,32,128,256,TensorBase(0.0376)
28,0.0028611988949707773,32,16,0.1443325213471903,0.6165272051082474,3,32,32,256,TensorBase(0.0330)
29,0.0009400196574824712,128,9,0.4098309441395058,0.6965969467567817,2,32,128,128,TensorBase(0.0321)
30,0.0005889098865030255,64,19,0.20098023052050307,0.5934370376061603,5,32,256,256,TensorBase(0.0307)
31,0.00045268066051548216,64,19,0.18746617849609262,0.5950813952285576,5,32,256,256,TensorBase(0.0326)
32,0.0009348405853575053,64,19,0.060763111256500316,0.6540796997743628,2,32,256,256,TensorBase(0.0324)
33,0.01084323747638126,64,18,0.31408187296443146,0.4770808162988439,3,32,256,256,TensorBase(0.0482)
34,0.00011352480815634068,64,16,0.11319764107051096,0.5744465870932726,6,32,256,256,TensorBase(0.0316)
35,0.0015846634005911955,64,14,0.24481275895153748,0.6493522408601283,2,32,512,256,TensorBase(0.0885)
36,0.000558723412036527,128,19,0.2098193175701706,0.5034153524144727,3,32,64,128,TensorBase(0.0347)
37,0.00012765745484174295,64,5,0.07324828109435044,0.6758576553818008,4,32,32,256,TensorBase(0.0392)
38,4.3174741641879606e-05,64,17,0.33796276872140096,0.2304370557727224,3,8,256,32,TensorBase(0.0361)
39,0.0011745300393794385,128,15,0.2867472931765726,0.6292275753245102,2,32,128,64,TensorBase(0.0315)
40,0.00035243725454241816,64,13,0.19437976507536192,0.5696828634516908,8,8,64,128,TensorBase(0.0310)
41,0.0003538754733046311,64,13,0.1846967127441005,0.576760668523146,8,8,64,128,TensorBase(0.0311)
42,0.0023754570751608737,64,13,0.13633241077175245,0.5036278708548374,6,8,64,128,TensorBase(0.0333)
43,0.0001616926237947318,64,16,0.04837287123832057,0.6032886172365807,7,8,64,128,TensorBase(0.0342)
44,0.00046004835883437103,64,20,0.18703457876145022,0.5386127055065821,8,8,64,128,TensorBase(0.0319)
45,0.0007521903637767337,16,10,0.09744145228966378,0.6883772645243209,7,8,128,32,TensorBase(0.0346)
46,7.002675385795991e-05,64,11,0.39237350166200574,0.5690237173577445,5,16,32,256,TensorBase(0.0486)
47,3.8237291310399814e-05,32,19,0.24417382742362673,0.43898934868978545,3,4,512,128,TensorBase(0.0330)
48,0.005360109903767102,64,18,0.13699200050468957,0.6219742130925004,2,32,64,256,TensorBase(0.0315)
49,0.00032046833239010364,64,13,0.015270911043283236,0.6625375508160287,7,16,128,128,TensorBase(0.0332)
